service_id,venue_id,venue_name,service_name,normalized_service_name,service_category,description,duration_minutes,price,currency,price_raw,price_type,tax_service_status,couple_price,per_person,booking_url,source_url,date_verified,confidence
obs-f0218b9e95-s1,obs-f0218b9e95,Spring Spa,The Bridesmaids,Other,Other,,,,,,,,,,https://www.springspa.com/book-an-appointment,https://www.springspa.com/sitemaps-1-section-baliBridalTreatments-1-sitemap.xml,2026-08-25T06:22:51+00:00,medium
obs-f0218b9e95-s2,obs-f0218b9e95,Spring Spa,The Prep,Other,Other,,,,,,,,,,https://www.springspa.com/book-an-appointment,https://www.springspa.com/sitemaps-1-section-baliBridalTreatments-1-sitemap.xml,2026-08-25T06:22:51+00:00,medium
obs-f0218b9e95-s3,obs-f0218b9e95,Spring Spa,The Groom,Other,Other,,,,,,,,,,https://www.springspa.com/book-an-appointment,https://www.springspa.com/sitemaps-1-section-baliBridalTreatments-1-sitemap.xml,2026-08-25T06:22:51+00:00,medium
obs-f0218b9e95-s4,obs-f0218b9e95,Spring Spa,The Glow,Other,Other,,,,,,,,,,https://www.springspa.com/book-an-appointment,https://www.springspa.com/sitemaps-1-section-baliBridalTreatments-1-sitemap.xml,2026-08-25T06:22:51+00:00,medium
obs-f0218b9e95-s5,obs-f0218b9e95,Spring Spa,The Finishing,Other,Other,,,,,,,,,,https://www.springspa.com/book-an-appointment,https://www.springspa.com/sitemaps-1-section-baliBridalTreatments-1-sitemap.xml,2026-08-25T06:22:51+00:00,medium
obs-f0218b9e95-s6,obs-f0218b9e95,Spring Spa,Meet Me at the Alter,Other,Other,,,,,,,,,,https://www.springspa.com/book-an-appointment,https://www.springspa.com/sitemaps-1-section-baliBridalTreatments-1-sitemap.xml,2026-08-25T06:22:51+00:00,medium
obs-f0218b9e95-s7,obs-f0218b9e95,Spring Spa,The Day After,Other,Other,,,,,,,,,,https://www.springspa.com/book-an-appointment,https://www.springspa.com/sitemaps-1-section-baliBridalTreatments-1-sitemap.xml,2026-08-25T06:22:51+00:00,medium
obs-f0218b9e95-s11,obs-f0218b9e95,Spring Spa,Hair,Other,Other,,,,,,,,,,https://www.springspa.com/book-an-appointment,https://www.springspa.com/,2026-08-25T06:22:51+00:00,medium
obs-f0218b9e95-s12,obs-f0218b9e95,Spring Spa,Brows & Lashes,Lashes,Lashes,,,,,,,,,,https://www.springspa.com/book-an-appointment,https://www.springspa.com/,2026-08-25T06:22:51+00:00,medium
obs-c1f3a33e65-s1,obs-c1f3a33e65,Svaha Spa Seminyak,Traditional Balinese Massage,Balinese Massage,Balinese Massage,A timeless technique to ease tension and promote relaxation.,,,,,,,,,https://booking.sinivieresort.com/en/spa?hotel=SVVS,https://svahawellness.com/svahaspaseminyak/treatment,2026-08-25T06:22:51+00:00,medium
obs-c1f3a33e65-s2,obs-c1f3a33e65,Svaha Spa Seminyak,Aromatherapy Massage,Aromatherapy,Aromatherapy,A calming experience with fragrant essential oils to soothe your senses.,,,,,,,,,https://booking.sinivieresort.com/en/spa?hotel=SVVS,https://svahawellness.com/svahaspaseminyak/treatment,2026-08-25T06:22:51+00:00,medium
obs-c1f3a33e65-s3,obs-c1f3a33e65,Svaha Spa Seminyak,Hot Stone Therapy for Couples,Couple Massage,Couple Massage,Ideal for addressing chronic tension and muscle soreness.,,,,,,,true,,https://booking.sinivieresort.com/en/spa?hotel=SVVS,https://svahawellness.com/svahaspaseminyak/treatment,2026-08-25T06:22:51+00:00,medium
obs-c1f3a33e65-s4,obs-c1f3a33e65,Svaha Spa Seminyak,Seminyak Bliss Ritual,Spa Package,Spa Package,Begin with a 90-minute massage followed by an exfoliating scrub and a floral bath.,,,,,,,true,,https://booking.sinivieresort.com/en/spa?hotel=SVVS,https://svahawellness.com/svahaspaseminyak/treatment,2026-08-25T06:22:51+00:00,medium
obs-c1f3a33e65-s5,obs-c1f3a33e65,Svaha Spa Seminyak,Couples’ Harmony Experience,Couple Massage,Couple Massage,A two-hour journey featuring synchronized massages and a shared flower bath.,,,,,,,true,,https://booking.sinivieresort.com/en/spa?hotel=SVVS,https://svahawellness.com/svahaspaseminyak/treatment,2026-08-25T06:22:51+00:00,medium
obs-c1f3a33e65-s6,obs-c1f3a33e65,Svaha Spa Seminyak,Herbal Body Wrap,Body Wrap,Body Wrap,Detoxify and refresh with this traditional Balinese remedy.,,,,,,,,,https://booking.sinivieresort.com/en/spa?hotel=SVVS,https://svahawellness.com/svahaspaseminyak/treatment,2026-08-25T06:22:51+00:00,medium
obs-c1f3a33e65-s7,obs-c1f3a33e65,Svaha Spa Seminyak,Guided Meditation for Couples,Couple Massage,Couple Massage,Find inner peace together with a personalized meditation session.,,,,,,,true,,https://booking.sinivieresort.com/en/spa?hotel=SVVS,https://svahawellness.com/svahaspaseminyak/treatment,2026-08-25T06:22:51+00:00,medium
obs-c1f3a33e65-s8,obs-c1f3a33e65,Svaha Spa Seminyak,Traditional Balinese Massage,Balinese Massage,Balinese Massage,A blend of gentle stretches and rhythmic techniques to restore harmony.,,,,,,,,,https://booking.sinivieresort.com/en/spa?hotel=SVVS,https://svahawellness.com/svahaspasanur/treatment,2026-08-25T06:22:51+00:00,medium
obs-c1f3a33e65-s9,obs-c1f3a33e65,Svaha Spa Seminyak,Aromatherapy Massage,Aromatherapy,Aromatherapy,Relax with soothing essential oils that calm your senses.,,,,,,,,,https://booking.sinivieresort.com/en/spa?hotel=SVVS,https://svahawellness.com/svahaspasanur/treatment,2026-08-25T06:22:51+00:00,medium
obs-c1f3a33e65-s10,obs-c1f3a33e65,Svaha Spa Seminyak,Deep Tissue Massage,Deep Tissue,Deep Tissue,Release muscle tension with a targeted therapeutic massage.,,,,,,,,,https://booking.sinivieresort.com/en/spa?hotel=SVVS,https://svahawellness.com/svahaspasanur/treatment,2026-08-25T06:22:51+00:00,medium
obs-c1f3a33e65-s11,obs-c1f3a33e65,Svaha Spa Seminyak,Sanur Indulgence Ritual,Spa Package,Spa Package,"Begin with a 90-minute massage, followed by a body scrub and a private flower bath overlooking the serene view.",,,,,,,,,https://booking.sinivieresort.com/en/spa?hotel=SVVS,https://svahawellness.com/svahaspasanur/treatment,2026-08-25T06:22:51+00:00,medium
obs-c1f3a33e65-s12,obs-c1f3a33e65,Svaha Spa Seminyak,Couples’ Bliss Package,Couple Massage,Couple Massage,"A two-hour spa experience with synchronized massages, a romantic soak in a floral bath, and light refreshments.",,,,,,,true,,https://booking.sinivieresort.com/en/spa?hotel=SVVS,https://svahawellness.com/svahaspasanur/treatment,2026-08-25T06:22:51+00:00,medium
obs-c1f3a33e65-s13,obs-c1f3a33e65,Svaha Spa Seminyak,Mindful Meditation Session,Meditation,Meditation,A guided practice to reconnect with your inner peace.,,,,,,,,,https://booking.sinivieresort.com/en/spa?hotel=SVVS,https://svahawellness.com/svahaspasanur/treatment,2026-08-25T06:22:51+00:00,medium
obs-c1f3a33e65-s14,obs-c1f3a33e65,Svaha Spa Seminyak,Traditional Balinese Massage,Balinese Massage,Balinese Massage,"Combines gentle stretches, acupressure, and long therapeutic strokes to improve circulation, ease muscle tension, and restore inner harmony.",,,,,,,,,https://booking.sinivieresort.com/en/spa?hotel=SVVS,https://svahawellness.com/svahaspaseminyaksanctuary/treatment,2026-08-25T06:22:51+00:00,medium
obs-c1f3a33e65-s15,obs-c1f3a33e65,Svaha Spa Seminyak,Aromatherapy Massage,Aromatherapy,Aromatherapy,"Immerse in soothing aromas of essential oils, enhancing relaxation and uplifting spirit.",,,,,,,,,https://booking.sinivieresort.com/en/spa?hotel=SVVS,https://svahawellness.com/svahaspaseminyaksanctuary/treatment,2026-08-25T06:22:51+00:00,medium
obs-c1f3a33e65-s16,obs-c1f3a33e65,Svaha Spa Seminyak,Hot Stone Therapy for Couples,Couple Massage,Couple Massage,Uses heated volcanic stones placed on key energy points to melt away stress and tension.,,,,,,,true,,https://booking.sinivieresort.com/en/spa?hotel=SVVS,https://svahawellness.com/svahaspaseminyaksanctuary/treatment,2026-08-25T06:22:51+00:00,medium
obs-c1f3a33e65-s17,obs-c1f3a33e65,Svaha Spa Seminyak,Herbal Body Wrap,Body Wrap,Body Wrap,Infused with natural herbs to detoxify the skin while nourishing it with essential minerals.,,,,,,,,,https://booking.sinivieresort.com/en/spa?hotel=SVVS,https://svahawellness.com/svahaspaseminyaksanctuary/treatment,2026-08-25T06:22:51+00:00,medium
obs-c1f3a33e65-s18,obs-c1f3a33e65,Svaha Spa Seminyak,Body & Soul Massage,Traditional Massage,Traditional Massage,Authentic Balinese Massage,,,,,,,,,https://booking.sinivieresort.com/en/spa?hotel=SVVS,https://svahawellness.com/svahaspasanur,2026-08-25T06:22:51+00:00,medium
obs-c1f3a33e65-s19,obs-c1f3a33e65,Svaha Spa Seminyak,Svaha Signature,Other,Other,Bath and Scrub,,,,,,,,,https://booking.sinivieresort.com/en/spa?hotel=SVVS,https://svahawellness.com/svahaspasanur,2026-08-25T06:22:51+00:00,medium
obs-7d8476bc95-s1,obs-7d8476bc95,Four Seasons Spa,Four Seasons Signature,Other,Other,Let us design a facial just for you. Lay back and relax while one of our trained experts closely analyzes your skin’s needs and customizes a treatment perfect for your unique skin type.,90,,,USD 275 - 390,FROM,,,,https://fswlv91362.na.book4time.com/OnlineBooking/SpaMenu.aspx,https://www.fourseasons.com/westlakevillage/spa/facial_treatments,2026-08-25T06:22:51+00:00,medium
obs-7d8476bc95-s2,obs-7d8476bc95,Four Seasons Spa,Natura Bisse C+C,Other,Other,"Indulge in a facial to restore your skin’s firmness. Infused with vitamins to nourish and boost collagen, plus restore firmness. This treatment protects the skin from free radicals and prevents premature ageing. Emerge renewed, radiant and luminous.",60,,,USD 285,,,,,https://fswlv91362.na.book4time.com/OnlineBooking/SpaMenu.aspx,https://www.fourseasons.com/westlakevillage/spa/facial_treatments,2026-08-25T06:22:51+00:00,medium
